time,x,y,z,xvalue,yvalue,zvalue
0,-5,-5,0,0,0,1.70425e-08
0,-5,-4.47368,0,0,0,5.93562e-08
0,-5,-3.94737,0,0,0,8.51642e-08
0,-5,-3.42105,0,0,0,8.94217e-08
0,-5,-2.89474,0,0,0,7.39498e-08
0,-5,-2.36842,0,0,0,4.75088e-08
0,-5,-1.84211,0,0,0,1.92771e-08
0,-5,-1.31579,0,0,0,-5.7154e-09
0,-5,-0.789474,0,0,0,-2.58841e-08
0,-5,-0.263158,0,0,0,-4.12997e-08
0,-5,0.263158,0,0,0,-5.25699e-08
0,-5,0.789474,0,0,0,-6.02321e-08
0,-5,1.31579,0,0,0,-6.46187e-08
0,-5,1.84211,0,0,0,-6.57466e-08
0,-5,2.36842,0,0,0,-6.33217e-08
0,-5,2.89474,0,0,0,-5.67177e-08
0,-5,3.42105,0,0,0,-4.50986e-08
0,-5,3.94737,0,0,0,-2.76034e-08
0,-5,4.47368,0,0,0,-3.65945e-09
0,-5,5,0,0,0,2.67518e-08
0,-4.47368,-5,0,0,0,4.39479e-08
0,-4.47368,-4.47368,0,0,0,7.74063e-08
0,-4.47368,-3.94737,0,0,0,8.796e-08
0,-4.47368,-3.42105,0,0,0,7.43908e-08
0,-4.47368,-2.89474,0,0,0,4.56361e-08
0,-4.47368,-2.36842,0,0,0,1.35747e-08
0,-4.47368,-1.84211,0,-0,0,-1.48256e-08
0,-4.47368,-1.31579,0,0,-0,-3.74776e-08
0,-4.47368,-0.789474,0,0,-0,-5.46407e-08
0,-4.47368,-0.263158,0,0,0,-6.74177e-08
0,-4.47368,0.263158,0,0,0,-7.68245e-08
0,-4.47368,0.789474,0,0,0,-8.37171e-08
0,-4.47368,1.31579,0,0,0,-8.84155e-08
0,-4.47368,1.84211,0,0,0,-9.10433e-08
0,-4.47368,2.36842,0,0,0,-9.10966e-08
0,-4.47368,2.89474,0,0,0,-8.79395e-08
0,-4.47368,3.42105,0,0,0,-8.05649e-08
0,-4.47368,3.94737,0,0,0,-6.77657e-08
0,-4.47368,4.47368,0,0,0,-4.8287e-08
0,-4.47368,5,0,0,0,-2.11365e-08
0,-3.94737,-5,0,0,0,6.25428e-08
0,-3.94737,-4.47368,0,0,0,8.45008e-08
