time,x,y,z,xvalue,yvalue,zvalue
0,-5,-5,0,1.38994e-08,-1.00956e-08,-0
0,-5,-4.47368,0,4.40818e-08,-3.98689e-08,-0
0,-5,-3.94737,0,6.06813e-08,-5.99127e-08,-0
0,-5,-3.42105,0,6.0675e-08,-6.59162e-08,-0
0,-5,-2.89474,0,4.69615e-08,-5.74367e-08,-0
0,-5,-2.36842,0,2.81895e-08,-3.8678e-08,-0
0,-5,-1.84211,0,1.24064e-08,-1.56877e-08,-0
0,-5,-1.31579,0,3.07277e-09,6.84404e-09,-0
0,-5,-0.789474,0,1.99763e-10,2.62639e-08,-0
0,-5,-0.263158,0,2.32081e-09,4.14393e-08,-0
0,-5,0.263158,0,7.6373e-09,5.21527e-08,0
0,-5,0.789474,0,1.44829e-08,5.85739e-08,0
0,-5,1.31579,0,2.14384e-08,6.10506e-08,0
0,-5,1.84211,0,2.73036e-08,5.98922e-08,0
0,-5,2.36842,0,3.10166e-08,5.52863e-08,0
0,-5,2.89474,0,3.15514e-08,4.72194e-08,0
0,-5,3.42105,0,2.78948e-08,3.55475e-08,0
0,-5,3.94737,0,1.91104e-08,2.01121e-08,0
0,-5,4.47368,0,4.52667e-09,9.43789e-10,0
0,-5,5,0,-1.60831e-08,-2.15765e-08,0
0,-4.47368,-5,0,3.58357e-08,-2.55942e-08,-0
0,-4.47368,-4.47368,0,6.10685e-08,-4.77413e-08,-0
0,-4.47368,-3.94737,0,6.73443e-08,-5.68557e-08,-0
0,-4.47368,-3.42105,0,5.46792e-08,-5.084e-08,-0
0,-4.47368,-2.89474,0,3.23748e-08,-3.27697e-08,-0
0,-4.47368,-2.36842,0,1.18517e-08,-8.78249e-09,0
0,-4.47368,-1.84211,0,-1.04247e-09,1.56964e-08,0
0,-4.47368,-1.31579,0,-5.58235e-09,3.73736e-08,-0
0,-4.47368,-0.789474,0,-3.34952e-09,5.47224e-08,-0
0,-4.47368,-0.263158,0,3.48455e-09,6.74579e-08,-0
0,-4.47368,0.263158,0,1.29316e-08,7.58293e-08,0
0,-4.47368,0.789474,0,2.33945e-08,8.04645e-08,0
0,-4.47368,1.31579,0,3.36182e-08,8.1845e-08,0
0,-4.47368,1.84211,0,4.26402e-08,8.05023e-08,0
0,-4.47368,2.36842,0,4.95055e-08,7.65273e-08,0
0,-4.47368,2.89474,0,5.33212e-08,6.99846e-08,0
0,-4.47368,3.42105,0,5.3079e-08,6.06651e-08,0
0,-4.47368,3.94737,0,4.76876e-08,4.82143e-08,0
0,-4.47368,4.47368,0,3.60567e-08,3.22181e-08,0
0,-4.47368,5,0,1.73211e-08,1.23875e-08,0
0,-3.94737,-5,0,5.33601e-08,-3.28189e-08,-0
0,-3.94737,-4.47368,0,7.07974e-08,-4.64258e-08,-0
0,-3.94737,-3.94737,0,6.49375e-08,-4.58374e-08,-0
0,-3.94737,-3.42105,0,4.18823e-08,-3.18553e-08,-0
0,-3.94737,-2.89474,0,1.59835e-08,-9.52724e-09,0
0,-3.94737,-2.36842,0,-2.61504e-09,1.52629e-08,0
0,-3.94737,-1.84211,0,-1.1172e-08,3.83321e-08,0
0,-3.94737,-1.31579,0,-1.08766e-08,5.73699e-08,0
0,-3.94737,-0.789474,0,-4.2255e-09,7.16736e-08,-0
0,-3.94737,-0.263158,0,6.33783e-09,8.12717e-08,0
0,-3.94737,0.263158,0,1.87902e-08,8.68165e-08,0
0,-3.94737,0.789474,0,3.17362e-08,8.93538e-08,0
0,-3.94737,1.31579,0,4.42054e-08,8.95124e-08,0
0,-3.94737,1.84211,0,5.55073e-08,8.78509e-08,0
0,-3.94737,2.36842,0,6.49643e-08,8.45718e-08,0
0,-3.94737,2.89474,0,7.17127e-08,7.95482e-08,0
0,-3.94737,3.42105,0,7.47587e-08,7.25499e-08,0
0,-3.94737,3.94737,0,7.29455e-08,6.31983e-08,0
0,-3.94737,4.47368,0,6.49537e-08,5.09525e-08,0
0,-3.94737,5,0,4.95644e-08,3.52919e-08,0
0,-3.42105,-5,0,6.5555e-08,-3.31557e-08,-0
0,-3.42105,-4.47368,0,7.36489e-08,-3.91494e-08,-0
0,-3.42105,-3.94737,0,5.66904e-08,-3.20837e-08,-0
0,-3.42105,-3.42105,0,2.74253e-08,-1.45991e-08,0
0,-3.42105,-2.89474,0,1.52668e-09,8.22643e-09,0
0,-3.42105,-2.36842,0,-1.37603e-08,3.1487e-08,0
0,-3.42105,-1.84211,0,-1.80432e-08,5.19256e-08,0
0,-3.42105,-1.31579,0,-1.36115e-08,6.77236e-08,0
0,-3.42105,-0.789474,0,-3.46906e-09,7.84738e-08,-0
0,-3.42105,-0.263158,0,9.71725e-09,8.45778e-08,0
0,-3.42105,0.263158,0,2.39932e-08,8.72092e-08,0
0,-3.42105,0.789474,0,3.82416e-08,8.75622e-08,0
0,-3.42105,1.31579,0,5.19076e-08,8.65312e-08,0
0,-3.42105,1.84211,0,6.46322e-08,8.4593e-08,0
0,-3.42105,2.36842,0,7.60153e-08,8.19271e-08,0
0,-3.42105,2.89474,0,8.53296e-08,7.83506e-08,0
0,-3.42105,3.42105,0,9.15251e-08,7.35216e-08,0
0,-3.42105,3.94737,0,9.33297e-08,6.70335e-08,0
0,-3.42105,4.47368,0,8.9332e-08,5.84083e-08,0
0,-3.42105,5,0,7.78658e-08,4.69483e-08,0
0,-2.89474,-5,0,7.25828e-08,-2.86865e-08,-0
0,-2.89474,-4.47368,0,7.17248e-08,-2.92967e-08,-0
0,-2.89474,-3.94737,0,4.67119e-08,-1.94111e-08,0
0,-2.89474,-3.42105,0,1.47213e-08,-1.73716e-09,0
0,-2.89474,-2.89474,0,-9.66422e-09,1.9535e-08,0
0,-2.89474,-2.36842,0,-2.16668e-08,4.02873e-08,0
0,-2.89474,-1.84211,0,-2.23277e-08,5.77143e-08,0
0,-2.89474,-1.31579,0,-1.45749e-08,7.00965e-08,0
0,-2.89474,-0.789474,0,-1.85336e-09,7.71729e-08,0
0,-2.89474,-0.263158,0,1.29152e-08,7.97592e-08,0
0,-2.89474,0.263158,0,2.78206e-08,7.93057e-08,0
0,-2.89474,0.789474,0,4.21223e-08,7.74859e-08,0
0,-2.89474,1.31579,0,5.58537e-08,7.53838e-08,0
0,-2.89474,1.84211,0,6.92156e-08,7.34433e-08,0
0,-2.89474,2.36842,0,8.19766e-08,7.14914e-08,0
0,-2.89474,2.89474,0,9.35365e-08,6.92734e-08,0
0,-2.89474,3.42105,0,1.02729e-07,6.63494e-08,0
0,-2.89474,3.94737,0,1.08199e-07,6.23666e-08,0
0,-2.89474,4.47368,0,1.08197e-07,5.68083e-08,0
0,-2.89474,5,0,1.0102e-07,4.9165e-08,0
0,-2.36842,-5,0,7.56746e-08,-2.15848e-08,-0
0,-2.36842,-4.47368,0,6.78777e-08,-1.9323e-08,-0
0,-2.36842,-3.94737,0,3.80025e-08,-9.46848e-09,0
0,-2.36842,-3.42105,0,5.26973e-09,6.31376e-09,0
0,-2.36842,-2.89474,0,-1.73677e-08,2.49309e-08,0
0,-2.36842,-2.36842,0,-2.68268e-08,4.29432e-08,0
0,-2.36842,-1.84211,0,-2.46732e-08,5.74549e-08,0
0,-2.36842,-1.31579,0,-1.43221e-08,6.66929e-08,0
0,-2.36842,-0.789474,0,3.32947e-10,7.02285e-08,0
0,-2.36842,-0.263158,0,1.58603e-08,6.91214e-08,0
0,-2.36842,0.263158,0,3.02247e-08,6.54876e-08,0
0,-2.36842,0.789474,0,4.32413e-08,6.16375e-08,0
0,-2.36842,1.31579,0,5.58438e-08,5.87841e-08,0
0,-2.36842,1.84211,0,6.89861e-08,5.71251e-08,0
0,-2.36842,2.36842,0,8.27074e-08,5.60958e-08,0
0,-2.36842,2.89474,0,9.62922e-08,5.51438e-08,0
0,-2.36842,3.42105,0,1.08427e-07,5.38192e-08,0
0,-2.36842,3.94737,0,1.17465e-07,5.17887e-08,0
0,-2.36842,4.47368,0,1.21504e-07,4.8706e-08,0
0,-2.36842,5,0,1.18803e-07,4.42523e-08,0
0,-1.84211,-5,0,7.61043e-08,-1.33788e-08,-0
0,-1.84211,-4.47368,0,6.44014e-08,-1.02702e-08,0
0,-1.84211,-3.94737,0,3.23651e-08,-2.37124e-09,0
0,-1.84211,-3.42105,0,-2.87657e-10,1.02307e-08,0
0,-1.84211,-2.89474,0,-2.18169e-08,2.5706e-08,0
0,-1.84211,-2.36842,0,-2.96632e-08,4.09833e-08,0
0,-1.84211,-1.84211,0,-2.55843e-08,5.31465e-08,0
0,-1.84211,-1.31579,0,-1.30514e-08,5.99233e-08,0
0,-1.84211,-0.789474,0,3.49795e-09,6.02386e-08,0
0,-1.84211,-0.263158,0,1.94774e-08,5.51346e-08,0
0,-1.84211,0.263158,0,3.21081e-08,4.78555e-08,0
0,-1.84211,0.789474,0,4.20529e-08,4.20084e-08,0
0,-1.84211,1.31579,0,5.20308e-08,3.8992e-08,0
0,-1.84211,1.84211,0,6.40873e-08,3.81751e-08,0
0,-1.84211,2.36842,0,7.84288e-08,3.83053e-08,0
0,-1.84211,2.89474,0,9.39772e-08,3.85064e-08,0
0,-1.84211,3.42105,0,1.09017e-07,3.83519e-08,0
0,-1.84211,3.94737,0,1.21667e-07,3.77043e-08,0
0,-1.84211,4.47368,0,1.29801e-07,3.64261e-08,0
0,-1.84211,5,0,1.31275e-07,3.4304e-08,0
0,-1.31579,-5,0,7.50522e-08,-5.03852e-09,-0
0,-1.31579,-4.47368,0,6.25329e-08,-2.10052e-09,0
0,-1.31579,-3.94737,0,3.04887e-08,2.82705e-09,0
0,-1.31579,-3.42105,0,-1.81156e-09,1.1414e-08,0
0,-1.31579,-2.89474,0,-2.30207e-08,2.32975e-08,0
0,-1.31579,-2.36842,0,-3.04842e-08,3.60614e-08,0
0,-1.31579,-1.84211,0,-2.53956e-08,4.67562e-08,0
0,-1.31579,-1.31579,0,-1.06898e-08,5.24884e-08,0
0,-1.31579,-0.789474,0,9.06829e-09,5.05741e-08,0
