time,x,y,z
0,1,0,0
0.1,0.997779,0.0666173,0
0.2,0.991124,0.132939,0
0.3,0.980067,0.198669,0
0.4,0.964655,0.263517,0
0.5,0.944957,0.327195,0
0.6,0.921061,0.389418,0
0.7,0.893073,0.449912,0
0.8,0.861117,0.508407,0
0.9,0.825336,0.564642,0
1,0.785887,0.61837,0
1.1,0.742947,0.66935,0
1.2,0.696707,0.717356,0
1.3,0.647371,0.762175,0
1.4,0.595159,0.803608,0
1.5,0.540302,0.841471,0
1.6,0.483046,0.875595,0
1.7,0.423643,0.905829,0
1.8,0.362358,0.932039,0
1.9,0.299463,0.954108,0
2,0.235238,0.971938,0
2.1,0.169967,0.98545,0
2.2,0.103942,0.994583,0
2.3,0.0374542,0.999298,0
2.4,-0.0291995,0.999574,0
2.5,-0.0957235,0.995408,0
2.6,-0.161822,0.98682,0
2.7,-0.227202,0.973848,0
2.8,-0.291572,0.956549,0
2.9,-0.354647,0.935,0
3,-0.416147,0.909297,0
3.1,-0.475797,0.879555,0
3.2,-0.533334,0.845905,0
3.3,-0.588501,0.808496,0
3.4,-0.641054,0.767496,0
3.5,-0.690758,0.723086,0
3.6,-0.737394,0.675463,0
3.7,-0.780753,0.62484,0
3.8,-0.820644,0.57144,0
3.9,-0.856889,0.515501,0
4,-0.889327,0.457273,0
4.1,-0.917813,0.397012,0
4.2,-0.942222,0.334988,0
4.3,-0.962445,0.271476,0
4.4,-0.978392,0.206757,0
4.5,-0.989992,0.14112,0
4.6,-0.997194,0.0748559,0
4.7,-0.999966,0.00825923,0
4.8,-0.998295,-0.0583741,0
4.9,-0.992188,-0.124748,0
5,-0.981674,-0.190568,0
5.1,-0.966798,-0.255541,0
5.2,-0.947627,-0.319379,0
5.3,-0.924246,-0.381798,0
5.4,-0.896758,-0.44252,0
5.5,-0.865287,-0.501277,0
5.6,-0.829971,-0.557807,0
5.7,-0.790968,-0.611858,0
5.8,-0.74845,-0.663191,0
5.9,-0.702608,-0.711577,0
6,-0.653644,-0.756802,0
6.1,-0.601775,-0.798665,0
6.2,-0.547234,-0.83698,0
6.3,-0.490261,-0.871576,0
6.4,-0.43111,-0.9023,0
6.5,-0.370043,-0.929015,0
6.6,-0.307333,-0.951602,0
6.7,-0.243257,-0.969962,0
6.8,-0.1781,-0.984012,0
6.9,-0.112153,-0.993691,0
7,-0.0457064,-0.998955,0
7.1,0.0209428,-0.999781,0
7.2,0.087499,-0.996165,0
7.3,0.153666,-0.988123,0
7.4,0.219151,-0.975691,0
7.5,0.283662,-0.958924,0
7.6,0.346913,-0.937897,0
7.7,0.408623,-0.912703,0
7.8,0.468517,-0.883455,0
7.9,0.526329,-0.850281,0
8,0.581803,-0.813329,0
8.1,0.634693,-0.772764,0
8.2,0.684762,-0.728766,0
8.3,0.73179,-0.68153,0
8.4,0.775566,-0.631267,0
8.5,0.815896,-0.578198,0
8.6,0.852602,-0.522561,0
8.7,0.88552,-0.464602,0
8.8,0.914503,-0.404579,0
8.9,0.939423,-0.342759,0
9,0.96017,-0.279415,0
9.1,0.976651,-0.214831,0
9.2,0.988793,-0.149292,0
9.3,0.996542,-0.0830894,0
9.4,0.999864,-0.0165179,0
9.5,0.998743,0.050127,0
9.6,0.993185,0.116549,0
9.7,0.983214,0.182454,0
9.8,0.968876,0.247547,0
9.9,0.950233,0.311541,0
10,0.927368,0.374151,0
10.1,0.900383,0.435099,0
10.2,0.869397,0.494113,0
10.3,0.83455,0.550933,0
10.4,0.795994,0.605304,0
10.5,0.753902,0.656987,0
10.6,0.708461,0.70575,0
10.7,0.659872,0.751378,0
10.8,0.608351,0.793668,0
10.9,0.554128,0.832432,0
11,0.497443,0.867497,0
11.1,0.438547,0.898708,0
11.2,0.377704,0.925927,0
11.3,0.315182,0.949031,0
11.4,0.25126,0.96792,0
11.5,0.186222,0.982508,0
11.6,0.120356,0.992731,0
11.7,0.0539554,0.998543,0
11.8,-0.0126847,0.99992,0
11.9,-0.0792685,0.996853,0
