time,x,y,z,value
0,-5,-5,0,-6.90366e-14
0,-5,-4.58333,0,-7.18892e-14
0,-5,-4.16667,0,-7.60176e-14
0,-5,-3.75,0,-8.15777e-14
0,-5,-3.33333,0,-8.88231e-14
0,-5,-2.91667,0,-9.81096e-14
0,-5,-2.5,0,-1.09891e-13
0,-5,-2.08333,0,-1.24672e-13
0,-5,-1.66667,0,-1.42858e-13
0,-5,-1.25,0,-1.64393e-13
0,-5,-0.833333,0,-1.88137e-13
0,-5,-0.416667,0,-2.11315e-13
0,-5,0,0,-2.29971e-13
0,-5,0.416667,0,-2.4085e-13
0,-5,0.833333,0,-2.42901e-13
0,-5,1.25,0,-2.36672e-13
0,-5,1.66667,0,-2.23006e-13
0,-5,2.08333,0,-2.03078e-13
0,-5,2.5,0,-1.79211e-13
0,-5,2.91667,0,-1.54638e-13
0,-5,3.33333,0,-1.32107e-13
0,-5,3.75,0,-1.12998e-13
0,-5,4.16667,0,-9.75111e-14
0,-5,4.58333,0,-8.5243e-14
0,-5,5,0,-7.38754e-14
0,-4.58333,-5,0,-7.20688e-14
0,-4.58333,-4.58333,0,-7.63132e-14
0,-4.58333,-4.16667,0,-8.22745e-14
0,-4.58333,-3.75,0,-9.0368e-14
0,-4.58333,-3.33333,0,-1.0125e-13
0,-4.58333,-2.91667,0,-1.15919e-13
0,-4.58333,-2.5,0,-1.35828e-13
0,-4.58333,-2.08333,0,-1.62901e-13
0,-4.58333,-1.66667,0,-1.98885e-13
0,-4.58333,-1.25,0,-2.42595e-13
0,-4.58333,-0.833333,0,-2.84411e-13
0,-4.58333,-0.416667,0,-3.07991e-13
0,-4.58333,0,0,-3.08954e-13
0,-4.58333,0.416667,0,-2.98796e-13
0,-4.58333,0.833333,0,-2.88209e-13
0,-4.58333,1.25,0,-2.81254e-13
0,-4.58333,1.66667,0,-2.77414e-13
0,-4.58333,2.08333,0,-2.72202e-13
0,-4.58333,2.5,0,-2.5731e-13
0,-4.58333,2.91667,0,-2.27312e-13
0,-4.58333,3.33333,0,-1.88722e-13
0,-4.58333,3.75,0,-1.52685e-13
0,-4.58333,4.16667,0,-1.2422e-13
