time,x,y,z,value
0,-5,-5,0,-7.2185e-09
0,-5,-3.88889,0,-9.40542e-09
0,-5,-2.77778,0,-1.56384e-08
0,-5,-1.66667,0,-1.49549e-07
0,-5,-0.555556,0,-1.01619e-08
0,-5,0.555556,0,-1.35768e-08
0,-5,1.66667,0,-1.9237e-08
0,-5,2.77778,0,-2.3302e-08
0,-5,3.88889,0,-7.92416e-08
0,-5,5,0,-1.23523e-08
0,-3.88889,-5,0,-8.80545e-09
0,-3.88889,-3.88889,0,-1.53473e-08
0,-3.88889,-2.77778,0,-4.3046e-08
0,-3.88889,-1.66667,0,-2.0044e-08
0,-3.88889,-0.555556,0,-1.69326e-08
0,-3.88889,0.555556,0,-nan(ind)
0,-3.88889,1.66667,0,-6.55983e-08
0,-3.88889,2.77778,0,-1.16837e-08
0,-3.88889,3.88889,0,-1.5456e-08
0,-3.88889,5,0,-3.14196e-08
0,-2.77778,-5,0,-1.11079e-08
0,-2.77778,-3.88889,0,-5.00375e-08
0,-2.77778,-2.77778,0,-2.30103e-08
0,-2.77778,-1.66667,0,-4.2239e-08
0,-2.77778,-0.555556,0,-1.70641e-08
0,-2.77778,0.555556,0,-1.70139e-08
0,-2.77778,1.66667,0,-1.57236e-08
0,-2.77778,2.77778,0,-8.54488e-07
0,-2.77778,3.88889,0,-1.30346e-08
0,-2.77778,5,0,-1.42822e-08
0,-1.66667,-5,0,-1.35357e-08
0,-1.66667,-3.88889,0,-nan(ind)
0,-1.66667,-2.77778,0,-2.28899e-08
0,-1.66667,-1.66667,0,-1.97795e-08
0,-1.66667,-0.555556,0,-1.11236e-05
0,-1.66667,0.555556,0,-2.53466e-08
0,-1.66667,1.66667,0,-7.96512e-07
0,-1.66667,2.77778,0,-4.99584e-08
0,-1.66667,3.88889,0,-1.23826e-08
0,-1.66667,5,0,-1.26081e-06
0,-0.555556,-5,0,-1.43245e-08
0,-0.555556,-3.88889,0,-3.81969e-07
0,-0.555556,-2.77778,0,-2.61348e-08
0,-0.555556,-1.66667,0,-3.70995e-08
0,-0.555556,-0.555556,0,-4.54376e-08
0,-0.555556,0.555556,0,-5.59699e-08
0,-0.555556,1.66667,0,-2.89746e-08
0,-0.555556,2.77778,0,-1.69313e-08
0,-0.555556,3.88889,0,-1.25732e-08
0,-0.555556,5,0,-9.79499e-09
0,0.555556,-5,0,-1.28101e-08
0,0.555556,-3.88889,0,-1.42086e-07
0,0.555556,-2.77778,0,-3.22858e-08
0,0.555556,-1.66667,0,-7.09852e-08
0,0.555556,-0.555556,0,-4.87934e-07
0,0.555556,0.555556,0,-4.6782e-07
0,0.555556,1.66667,0,-3.99191e-08
0,0.555556,2.77778,0,-1.76552e-08
0,0.555556,3.88889,0,-1.23965e-08
0,0.555556,5,0,-1.08203e-08
0,1.66667,-5,0,-9.33651e-09
0,1.66667,-3.88889,0,-2.04124e-08
0,1.66667,-2.77778,0,-1.71075e-08
0,1.66667,-1.66667,0,-4.49733e-08
0,1.66667,-0.555556,0,-2.62781e-08
0,1.66667,0.555556,0,-nan(ind)
0,1.66667,1.66667,0,-4.64465e-08
0,1.66667,2.77778,0,-1.03596e-06
0,1.66667,3.88889,0,-1.15554e-08
0,1.66667,5,0,-1.03584e-08
0,2.77778,-5,0,-1.09704e-08
0,2.77778,-3.88889,0,-1.0848e-08
0,2.77778,-2.77778,0,-2.02523e-08
0,2.77778,-1.66667,0,-7.9837e-08
0,2.77778,-0.555556,0,-5.2126e-08
0,2.77778,0.555556,0,-2.85558e-08
0,2.77778,1.66667,0,-nan(ind)
0,2.77778,2.77778,0,-2.32562e-07
0,2.77778,3.88889,0,-5.12644e-08
0,2.77778,5,0,-1.00006e-08
0,3.88889,-5,0,-7.80336e-09
0,3.88889,-3.88889,0,-3.98656e-08
0,3.88889,-2.77778,0,-1.82414e-07
0,3.88889,-1.66667,0,-1.15255e-08
0,3.88889,-0.555556,0,-2.41296e-08
0,3.88889,0.555556,0,-1.4776e-08
0,3.88889,1.66667,0,-1.17734e-08
0,3.88889,2.77778,0,-9.88245e-07
0,3.88889,3.88889,0,-9.56315e-09
0,3.88889,5,0,-1.01057e-08
0,5,-5,0,-7.39365e-09
0,5,-3.88889,0,-7.89299e-09
0,5,-2.77778,0,-1.58379e-05
0,5,-1.66667,0,-9.88256e-09
0,5,-0.555556,0,-9.91009e-09
0,5,0.555556,0,-9.75278e-09
0,5,1.66667,0,-nan(ind)
0,5,2.77778,0,-9.11792e-09
0,5,3.88889,0,-8.20591e-08
0,5,5,0,-1.16365e-08
0.001,-5,-5,0,-7.2185e-09
0.001,-5,-3.88889,0,-9.40542e-09
0.001,-5,-2.77778,0,-1.56384e-08
0.001,-5,-1.66667,0,-1.49549e-07
0.001,-5,-0.555556,0,-1.01619e-08
0.001,-5,0.555556,0,-1.35768e-08
0.001,-5,1.66667,0,-1.9237e-08
0.001,-5,2.77778,0,-2.3302e-08
0.001,-5,3.88889,0,-7.92416e-08
0.001,-5,5,0,-1.23523e-08
0.001,-3.88889,-5,0,-8.80545e-09
0.001,-3.88889,-3.88889,0,-1.53473e-08
0.001,-3.88889,-2.77778,0,-4.3046e-08
0.001,-3.88889,-1.66667,0,-2.0044e-08
0.001,-3.88889,-0.555556,0,-1.69326e-08
0.001,-3.88889,0.555556,0,-nan(ind)
0.001,-3.88889,1.66667,0,-6.55983e-08
0.001,-3.88889,2.77778,0,-1.16837e-08
0.001,-3.88889,3.88889,0,-1.5456e-08
0.001,-3.88889,5,0,-3.14196e-08
0.001,-2.77778,-5,0,-1.11079e-08
0.001,-2.77778,-3.88889,0,-5.00375e-08
0.001,-2.77778,-2.77778,0,-2.30103e-08
0.001,-2.77778,-1.66667,0,-4.2239e-08
0.001,-2.77778,-0.555556,0,-1.70641e-08
0.001,-2.77778,0.555556,0,-1.70139e-08
0.001,-2.77778,1.66667,0,-1.57236e-08
0.001,-2.77778,2.77778,0,-8.54488e-07
0.001,-2.77778,3.88889,0,-1.30346e-08
0.001,-2.77778,5,0,-1.42822e-08
0.001,-1.66667,-5,0,-1.35357e-08
0.001,-1.66667,-3.88889,0,-nan(ind)
0.001,-1.66667,-2.77778,0,-2.28899e-08
0.001,-1.66667,-1.66667,0,-1.97795e-08
0.001,-1.66667,-0.555556,0,-1.11236e-05
0.001,-1.66667,0.555556,0,-2.53466e-08
0.001,-1.66667,1.66667,0,-7.96512e-07
0.001,-1.66667,2.77778,0,-4.99584e-08
0.001,-1.66667,3.88889,0,-1.23826e-08
0.001,-1.66667,5,0,-1.26081e-06
0.001,-0.555556,-5,0,-1.43245e-08
0.001,-0.555556,-3.88889,0,-3.81969e-07
0.001,-0.555556,-2.77778,0,-2.61348e-08
0.001,-0.555556,-1.66667,0,-3.70995e-08
0.001,-0.555556,-0.555556,0,-4.54376e-08
0.001,-0.555556,0.555556,0,-5.59699e-08
